,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2025,7.55,8.3,9.23,10.82,10.09,10.06,10.33,10.04,10.32,14.0,13.26,13.15,14.0,13.84,12.43,12.33,13.51,13.68,12.71,15.42,12.98,11.94,8.1,18.61,15.0,5.9
2024,7.61,8.41,9.38,11.05,10.29,10.27,10.56,10.28,10.59,14.52,13.77,13.68,14.64,14.53,13.04,13.0,14.39,14.69,13.72,17.09,14.45,13.5,8.84,25.53,24.89,
2023,6.95,7.74,8.72,10.43,9.61,9.55,9.82,9.47,9.75,13.86,13.02,12.86,13.83,13.63,11.92,11.75,13.14,13.3,11.96,15.59,11.98,9.95,1.61,26.18,,
2022,6.18,6.97,7.95,9.69,8.8,8.69,8.92,8.51,8.73,13.03,12.06,11.82,12.77,12.45,10.44,10.06,11.39,11.29,9.31,13.09,7.62,2.63,-18.18,,,
2021,7.45,8.34,9.46,11.4,10.53,10.52,10.89,10.57,10.96,15.87,15.04,15.04,16.44,16.49,14.66,14.83,17.26,18.35,17.52,25.97,23.42,28.73,,,,
2020,6.53,7.41,8.53,10.51,9.55,9.48,9.79,9.37,9.7,14.86,13.87,13.75,15.15,15.05,12.77,12.66,15.1,15.88,14.01,24.61,18.33,,,,,
2019,5.97,6.87,8.01,10.06,9.02,8.91,9.21,8.71,9.01,14.55,13.43,13.26,14.76,14.59,11.87,11.56,14.3,15.08,11.9,31.22,,,,,,
2018,4.78,5.66,6.78,8.86,7.68,7.47,7.68,7.02,7.19,13.01,11.61,11.19,12.59,12.03,8.36,7.12,9.16,7.77,-4.57,,,,,,,
2017,5.33,6.29,7.53,9.82,8.62,8.46,8.76,8.14,8.45,15.15,13.82,13.64,15.73,15.68,11.86,11.33,16.75,21.71,,,,,,,,
2016,4.44,5.39,6.65,9.02,7.67,7.42,7.66,6.87,7.06,14.35,12.74,12.35,14.57,14.22,8.76,6.48,12.0,,,,,,,,,
2015,3.98,4.97,6.28,8.79,7.31,7.01,7.23,6.32,6.46,14.69,12.86,12.42,15.22,14.97,7.17,1.23,,,,,,,,,,
2014,4.17,5.24,6.68,9.45,7.89,7.61,7.92,6.97,7.23,17.11,15.34,15.41,20.31,22.52,13.46,,,,,,,,,,,
2013,3.53,4.63,6.13,9.09,7.34,6.98,7.25,6.07,6.23,17.85,15.82,16.07,23.88,32.31,,,,,,,,,,,,
2012,1.6,2.61,4.02,7.0,4.88,4.17,4.08,2.24,1.66,14.49,10.79,8.71,15.99,,,,,,,,,,,,,
2011,0.48,1.47,2.9,6.05,3.57,2.59,2.22,-0.31,-1.63,13.99,8.27,1.89,,,,,,,,,,,,,,
2010,0.36,1.43,3.01,6.58,3.81,2.7,2.28,-0.85,-2.78,20.57,15.06,,,,,,,,,,,,,,,
2009,-1.01,0.02,1.59,5.42,2.04,0.39,-0.68,-5.65,-10.63,26.35,,,,,,,,,,,,,,,,
2008,-3.65,-2.86,-1.52,2.29,-2.23,-5.21,-8.34,-18.47,-36.79,,,,,,,,,,,,,,,,,
2007,1.56,3.28,6.03,12.62,9.04,8.49,10.37,5.15,,,,,,,,,,,,,,,,,,
2006,1.06,2.98,6.21,14.57,10.37,10.2,15.85,,,,,,,,,,,,,,,,,,,
2005,-1.22,0.58,3.93,14.15,7.73,4.83,,,,,,,,,,,,,,,,,,,,
2004,-2.39,-0.46,3.63,19.12,10.7,,,,,,,,,,,,,,,,,,,,,
2003,-5.41,-3.92,0.26,28.18,,,,,,,,,,,,,,,,,,,,,,
2002,-14.52,-16.81,-21.58,,,,,,,,,,,,,,,,,,,,,,,
2001,-10.76,-11.76,,,,,,,,,,,,,,,,,,,,,,,,
2000,-9.74,,,,,,,,,,,,,,,,,,,,,,,,,
