date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-01-02,472.16,473.67,470.49,472.65,463.89,123623700,123623700,0.49,0.10378,472.2425,"January 02, 24",0.0010378
2024-01-03,470.43,471.19,468.17,468.79,460.11,103585900,103585900,-1.64,-0.34862,469.645,"January 03, 24",-0.0034862
2024-01-04,468.3,470.96,467.05,467.28,458.62,84232200,84232200,-1.02,-0.21781,468.3975,"January 04, 24",-0.0021781
2024-01-05,467.49,470.44,466.43,467.92,459.25,86118913,86118913,0.43,0.09198058,468.07,"January 05, 24",0.0009198058
2024-01-08,468.43,474.75,468.3,474.6,465.81,74879100,74879100,6.17,1.32,471.52,"January 08, 24",0.0132
2024-01-09,471.87,474.93,471.35,473.88,465.1,65931439,65931439,2.01,0.42596,473.0075,"January 09, 24",0.0042596
2024-01-10,474.16,477.45,473.87,476.56,467.73,67310640,67310640,2.4,0.50616,475.51,"January 10, 24",0.0050616
2024-01-11,477.59,478.12,472.26,476.35,467.53,77940723,77940723,-1.24,-0.25964,476.08,"January 11, 24",-0.0025964
2024-01-12,477.84,478.6,475.23,476.68,467.85,58026420,58026420,-1.16,-0.24276,477.0875,"January 12, 24",-0.0024276
2024-01-16,475.26,476.61,473.06,474.93,466.13,85014900,85014900,-0.33,-0.06943568,474.965,"January 16, 24",-0.0006943568
2024-01-17,471.82,472.79,469.87,472.29,463.54,68843900,68843900,0.47,0.09961426,471.6925,"January 17, 24",0.0009961426
2024-01-18,474.01,477.06,472.42,476.49,467.66,91856248,91856248,2.48,0.5232,474.995,"January 18, 24",0.005232
2024-01-19,477.65,482.72,476.54,482.43,473.49,110834483,110834483,4.78,1.0,479.835,"January 19, 24",0.01
2024-01-22,484.01,485.22,482.78,483.45,474.49,75844931,75844931,-0.56,-0.1157,483.865,"January 22, 24",-0.001157
2024-01-23,484.01,485.11,482.89,484.86,475.88,49945300,49945300,0.85,0.17562,484.2175,"January 23, 24",0.0017562
2024-01-24,487.81,488.77,484.88,485.39,476.4,81765039,81765039,-2.42,-0.49609,486.7125,"January 24, 24",-0.0049609
2024-01-25,487.58,488.31,485.39,488.03,478.99,72525000,72525000,0.455,0.09229255,487.3275,"January 25, 24",0.0009229255
2024-01-26,487.59,489.12,486.54,487.41,478.38,76641609,76641609,-0.18,-0.03691626,487.665,"January 26, 24",-0.0003691626
2024-01-29,487.73,491.42,487.17,491.27,482.17,61322800,61322800,3.54,0.72581,489.3975,"January 29, 24",0.0072581
2024-01-30,490.56,491.62,490.11,490.89,481.8,58618400,58618400,0.33,0.06727006,490.795,"January 30, 24",0.0006727006
2024-01-31,488.62,489.08,482.86,482.88,473.93,126011100,126011100,-5.74,-1.17,485.86,"January 31, 24",-0.0117
2024-02-01,484.63,489.23,483.8,489.2,480.14,91891637,91891637,4.57,0.94299,486.715,"February 01, 24",0.0094299
2024-02-02,489.65,496.05,489.3,494.35,485.19,99228192,99228192,4.7,0.95987,492.3375,"February 02, 24",0.0095987
2024-02-05,493.7,494.38,490.23,492.55,483.43,75757102,75757102,-1.14,-0.23293,492.715,"February 05, 24",-0.0023293
2024-02-06,493.52,494.32,492.05,493.98,484.83,55918602,55918602,0.46,0.09320798,493.4675,"February 06, 24",0.0009320798
2024-02-07,496.29,498.53,495.36,498.1,488.87,70556506,70556506,1.81,0.36471,497.07,"February 07, 24",0.0036471
2024-02-08,498.1,498.71,497.26,498.32,489.09,52343636,52343636,0.22,0.04416784,498.0975,"February 08, 24",0.0004416784
2024-02-09,498.84,501.65,498.49,501.2,491.92,63979400,63979400,2.36,0.4731,500.045,"February 09, 24",0.004731
2024-02-12,501.17,503.5,500.24,500.98,491.7,56502300,56502300,-0.19,-0.03791129,501.4725,"February 12, 24",-0.0003791129
2024-02-13,494.53,497.09,490.72,494.08,484.93,113099200,113099200,-0.45,-0.09099549,494.105,"February 13, 24",-0.0009099549
2024-02-14,496.79,499.07,494.4,498.57,489.33,68387827,68387827,1.78,0.3583,497.2075,"February 14, 24",0.003583
2024-02-15,499.29,502.2,498.8,502.01,492.71,61683000,61683000,2.72,0.54477,500.575,"February 15, 24",0.0054477
2024-02-16,501.7,502.87,498.75,499.51,490.26,75532928,75532928,-2.19,-0.43652,500.7075,"February 16, 24",-0.0043652
2024-02-20,497.72,498.41,494.45,496.76,487.56,71736740,71736740,-0.96,-0.19288,496.835,"February 20, 24",-0.0019288
2024-02-21,495.42,497.37,493.56,497.21,488.0,59603800,59603800,1.79,0.36131,495.89,"February 21, 24",0.0036131
2024-02-22,504.01,508.49,503.02,507.5,498.1,76402535,76402535,3.49,0.69245,505.755,"February 22, 24",0.0069245
2024-02-23,509.27,510.13,507.1,507.85,498.44,61321818,61321818,-1.42,-0.27883,508.5875,"February 23, 24",-0.0027883
2024-02-26,508.3,508.75,505.86,505.99,496.62,50386738,50386738,-2.31,-0.45446,507.225,"February 26, 24",-0.0045446
2024-02-27,506.7,507.16,504.75,506.93,497.54,48854528,48854528,0.23,0.04539175,506.385,"February 27, 24",0.0004539175
2024-02-28,505.33,506.86,504.96,506.26,496.88,56506634,56506634,0.93,0.18404,505.8525,"February 28, 24",0.0018404
2024-02-29,508.07,509.74,505.35,508.08,498.67,83924800,83924800,0.01,0.00196823,507.81,"February 29, 24",1.96823e-05
2024-03-01,508.98,513.29,508.56,512.85,503.35,76844844,76844844,3.87,0.76034,510.92,"March 01, 24",0.0076034
2024-03-04,512.03,514.2,512.0,512.3,502.81,49799300,49799300,0.27,0.05273129,512.6325,"March 04, 24",0.0005273129
2024-03-05,510.24,510.7,504.91,507.18,497.78,72855623,72855623,-3.06,-0.59972,508.2575,"March 05, 24",-0.0059972
2024-03-06,510.55,512.07,508.42,509.75,500.31,68382400,68382400,-0.8,-0.15669,510.1975,"March 06, 24",-0.0015669
2024-03-07,513.14,515.89,509.81,514.81,505.27,58652100,58652100,1.67,0.32545,513.4125,"March 07, 24",0.0032545
2024-03-08,515.46,518.22,511.13,511.72,502.24,86532535,86532535,-3.74,-0.72557,514.1325,"March 08, 24",-0.0072557
2024-03-11,510.48,511.88,508.5,511.28,501.81,62557200,62557200,0.8,0.15672,510.535,"March 11, 24",0.0015672
2024-03-12,513.45,517.38,510.86,516.78,507.21,73114439,73114439,3.33,0.64855,514.6175,"March 12, 24",0.0064855
2024-03-13,517.11,517.29,514.49,515.97,506.41,55104100,55104100,-1.14,-0.22046,516.215,"March 13, 24",-0.0022046
2024-03-14,516.97,517.13,511.82,514.95,505.41,110171820,110171820,-2.02,-0.39074,515.2175,"March 14, 24",-0.0039074
2024-03-15,510.21,511.7,508.12,509.83,501.94,107646297,107646297,-0.38,-0.07447914,509.965,"March 15, 24",-0.0007447914
2024-03-18,514.0,515.48,512.44,512.86,504.92,88893331,88893331,-1.14,-0.22179,513.695,"March 18, 24",-0.0022179
2024-03-19,512.15,516.0,511.12,515.71,507.73,60755300,60755300,3.56,0.69511,513.745,"March 19, 24",0.0069511
2024-03-20,515.77,520.62,515.08,520.48,512.43,69594600,69594600,4.71,0.9132,517.9875,"March 20, 24",0.009132
2024-03-21,523.39,524.11,521.91,522.2,514.12,60256112,60256112,-1.19,-0.22736,522.9025,"March 21, 24",-0.0022736
2024-03-22,522.11,522.61,520.97,521.21,513.14,79070842,79070842,-0.9,-0.17238,521.725,"March 22, 24",-0.0017238
2024-03-25,519.8,520.95,519.61,519.77,511.73,48512108,48512108,-0.03,-0.00577145,520.0325,"March 25, 24",-5.77145e-05
2024-03-26,521.23,521.58,518.4,518.81,510.78,65463744,65463744,-2.42,-0.46429,520.005,"March 26, 24",-0.0046429
2024-03-27,521.71,523.21,519.49,523.17,515.07,82999800,82999800,1.46,0.27985,521.895,"March 27, 24",0.0027985
2024-03-28,523.21,524.61,522.78,523.07,514.98,96294900,96294900,-0.14,-0.0267579,523.4175,"March 28, 24",-0.000267579
2024-04-01,523.83,524.38,520.97,522.16,514.08,62477540,62477540,-1.67,-0.31881,522.835,"April 01, 24",-0.0031881
2024-04-02,518.24,518.98,516.48,518.84,510.81,74230308,74230308,0.6,0.11578,518.135,"April 02, 24",0.0011578
2024-04-03,517.72,520.95,517.67,519.41,511.37,59155800,59155800,1.69,0.32643,518.9375,"April 03, 24",0.0032643
2024-04-04,523.52,523.87,512.76,513.07,505.13,96858100,96858100,-10.45,-2.0,518.305,"April 04, 24",-0.02
2024-04-05,514.46,520.44,514.01,518.43,510.41,74546483,74546483,3.97,0.77168,516.835,"April 05, 24",0.0077168
2024-04-08,519.15,520.18,517.89,518.72,510.69,48401800,48401800,-0.43,-0.0828277,518.985,"April 08, 24",-0.000828277
