date,open,low,high,close,volume
2025-07-07 09:30:00,623.35,622.88,623.98,623.22,2668534
2025-07-07 09:35:00,623.23,623.07,623.63,623.34,719748
2025-07-07 09:40:00,623.3,623.18,623.66,623.46,757348
2025-07-07 09:45:00,623.46,623.07,623.55,623.5,619844
2025-07-07 09:50:00,623.52,623.43,624.03,623.85,695782
2025-07-07 09:55:00,623.84,623.61,623.97,623.66,450288
2025-07-07 10:00:00,623.62,622.72,623.79,623.09,812998
2025-07-07 10:05:00,623.09,623.0,623.35,623.11,432338
2025-07-07 10:10:00,623.13,622.73,623.25,622.76,656217
2025-07-07 10:15:00,622.75,622.53,623.05,622.95,510035
2025-07-07 10:20:00,622.97,622.88,623.22,623.16,428663
2025-07-07 10:25:00,623.18,622.91,623.42,623.05,654349
2025-07-07 10:30:00,623.04,622.59,623.1,622.59,647524
2025-07-07 10:35:00,622.57,622.52,622.83,622.71,524349
2025-07-07 10:40:00,622.71,622.6,622.91,622.66,429623
2025-07-07 10:45:00,622.67,622.56,622.93,622.71,487315
2025-07-07 10:50:00,622.7,621.96,622.8,622.28,913748
2025-07-07 10:55:00,622.27,621.96,622.41,622.16,563471
2025-07-07 11:00:00,622.16,621.91,622.39,622.09,747043
2025-07-07 11:05:00,622.11,621.9,622.15,622.06,450476
2025-07-07 11:10:00,622.04,621.87,622.13,621.94,570989
2025-07-07 11:15:00,621.93,621.66,622.1,621.73,598995
2025-07-07 11:20:00,621.72,621.57,621.96,621.85,495686
2025-07-07 11:25:00,621.84,621.78,622.12,622.07,419957
2025-07-07 11:30:00,622.06,621.88,622.21,621.95,495042
2025-07-07 11:35:00,621.92,621.83,622.04,621.93,252898
2025-07-07 11:40:00,621.94,621.61,621.97,621.64,308271
2025-07-07 11:45:00,621.62,621.22,621.73,621.41,578205
2025-07-07 11:50:00,621.4,621.18,621.5,621.4,0
2025-07-07 11:55:00,621.41,621.39,621.93,621.74,641898
2025-07-07 12:00:00,621.75,621.75,622.27,622.14,572180
2025-07-07 12:05:00,622.14,622.08,622.29,622.17,303902
2025-07-07 12:10:00,622.14,621.78,622.19,622.0,281230
